realtime_start,realtime_end,date,value
2019-12-06,2019-12-06,2003-01-01,16434
2019-12-06,2019-12-06,2003-02-01,16933
2019-12-06,2019-12-06,2003-03-01,16764
2019-12-06,2019-12-06,2003-04-01,16593
2019-12-06,2019-12-06,2003-05-01,16722
2019-12-06,2019-12-06,2003-06-01,16938
2019-12-06,2019-12-06,2003-07-01,17049
2019-12-06,2019-12-06,2003-08-01,17312
2019-12-06,2019-12-06,2003-09-01,17595
2019-12-06,2019-12-06,2003-10-01,17778
2019-12-06,2019-12-06,2003-11-01,17881
2019-12-06,2019-12-06,2003-12-01,17742
2019-12-06,2019-12-06,2004-01-01,18275
2019-12-06,2019-12-06,2004-02-01,18566
2019-12-06,2019-12-06,2004-03-01,18072
2019-12-06,2019-12-06,2004-04-01,18442
2019-12-06,2019-12-06,2004-05-01,18351
2019-12-06,2019-12-06,2004-06-01,18649
2019-12-06,2019-12-06,2004-07-01,18927
2019-12-06,2019-12-06,2004-08-01,19178
2019-12-06,2019-12-06,2004-09-01,19472
2019-12-06,2019-12-06,2004-10-01,19675
2019-12-06,2019-12-06,2004-11-01,19789
2019-12-06,2019-12-06,2004-12-01,19942
2019-12-06,2019-12-06,2005-01-01,20237
2019-12-06,2019-12-06,2005-02-01,20175
2019-12-06,2019-12-06,2005-03-01,20506
2019-12-06,2019-12-06,2005-04-01,20741
2019-12-06,2019-12-06,2005-05-01,20568
2019-12-06,2019-12-06,2005-06-01,21024
2019-12-06,2019-12-06,2005-07-01,20988
2019-12-06,2019-12-06,2005-08-01,21767
2019-12-06,2019-12-06,2005-09-01,21951
2019-12-06,2019-12-06,2005-10-01,22255
2019-12-06,2019-12-06,2005-11-01,22461
2019-12-06,2019-12-06,2005-12-01,22827
2019-12-06,2019-12-06,2006-01-01,22574
2019-12-06,2019-12-06,2006-02-01,23068
2019-12-06,2019-12-06,2006-03-01,23677
2019-12-06,2019-12-06,2006-04-01,23305
2019-12-06,2019-12-06,2006-05-01,23794
2019-12-06,2019-12-06,2006-06-01,23762
2019-12-06,2019-12-06,2006-07-01,23638
2019-12-06,2019-12-06,2006-08-01,24225
2019-12-06,2019-12-06,2006-09-01,24206
2019-12-06,2019-12-06,2006-10-01,24349
2019-12-06,2019-12-06,2006-11-01,24259
2019-12-06,2019-12-06,2006-12-01,24206
2019-12-06,2019-12-06,2007-01-01,24243
2019-12-06,2019-12-06,2007-02-01,25505
2019-12-06,2019-12-06,2007-03-01,25034
2019-12-06,2019-12-06,2007-04-01,25303
2019-12-06,2019-12-06,2007-05-01,25271
2019-12-06,2019-12-06,2007-06-01,25462
2019-12-06,2019-12-06,2007-07-01,25970
2019-12-06,2019-12-06,2007-08-01,25826
2019-12-06,2019-12-06,2007-09-01,26112
2019-12-06,2019-12-06,2007-10-01,26397
2019-12-06,2019-12-06,2007-11-01,27065
2019-12-06,2019-12-06,2007-12-01,26268
2019-12-06,2019-12-06,2008-01-01,26019
2019-12-06,2019-12-06,2008-02-01,26101
2019-12-06,2019-12-06,2008-03-01,26530
2019-12-06,2019-12-06,2008-04-01,27243
2019-12-06,2019-12-06,2008-05-01,27526
2019-12-06,2019-12-06,2008-06-01,27403
2019-12-06,2019-12-06,2008-07-01,27823
2019-12-06,2019-12-06,2008-08-01,27374
2019-12-06,2019-12-06,2008-09-01,27258
2019-12-06,2019-12-06,2008-10-01,26333
2019-12-06,2019-12-06,2008-11-01,25149
2019-12-06,2019-12-06,2008-12-01,24751
2019-12-06,2019-12-06,2009-01-01,25049
2019-12-06,2019-12-06,2009-02-01,25241
2019-12-06,2019-12-06,2009-03-01,24941
2019-12-06,2019-12-06,2009-04-01,24932
2019-12-06,2019-12-06,2009-05-01,25159
2019-12-06,2019-12-06,2009-06-01,25768
2019-12-06,2019-12-06,2009-07-01,26110
2019-12-06,2019-12-06,2009-08-01,26150
2019-12-06,2019-12-06,2009-09-01,26339
2019-12-06,2019-12-06,2009-10-01,26634
2019-12-06,2019-12-06,2009-11-01,26666
2019-12-06,2019-12-06,2009-12-01,26984
2019-12-06,2019-12-06,2010-01-01,27280
2019-12-06,2019-12-06,2010-02-01,27256
2019-12-06,2019-12-06,2010-03-01,27817
2019-12-06,2019-12-06,2010-04-01,27745
2019-12-06,2019-12-06,2010-05-01,27775
2019-12-06,2019-12-06,2010-06-01,28462
2019-12-06,2019-12-06,2010-07-01,28095
2019-12-06,2019-12-06,2010-08-01,28774
2019-12-06,2019-12-06,2010-09-01,28884
2019-12-06,2019-12-06,2010-10-01,28976
2019-12-06,2019-12-06,2010-11-01,28951
2019-12-06,2019-12-06,2010-12-01,29672
2019-12-06,2019-12-06,2011-01-01,30617
2019-12-06,2019-12-06,2011-02-01,30117
2019-12-06,2019-12-06,2011-03-01,30452
2019-12-06,2019-12-06,2011-04-01,30737
2019-12-06,2019-12-06,2011-05-01,30923
2019-12-06,2019-12-06,2011-06-01,31136
2019-12-06,2019-12-06,2011-07-01,31209
2019-12-06,2019-12-06,2011-08-01,31632
2019-12-06,2019-12-06,2011-09-01,31447
2019-12-06,2019-12-06,2011-10-01,32494
2019-12-06,2019-12-06,2011-11-01,32785
2019-12-06,2019-12-06,2011-12-01,32538
2019-12-06,2019-12-06,2012-01-01,32405
2019-12-06,2019-12-06,2012-02-01,32909
2019-12-06,2019-12-06,2012-03-01,32883
2019-12-06,2019-12-06,2012-04-01,33173
2019-12-06,2019-12-06,2012-05-01,33794
2019-12-06,2019-12-06,2012-06-01,33729
2019-12-06,2019-12-06,2012-07-01,34147
2019-12-06,2019-12-06,2012-08-01,34423
2019-12-06,2019-12-06,2012-09-01,34740
2019-12-06,2019-12-06,2012-10-01,34714
2019-12-06,2019-12-06,2012-11-01,35305
2019-12-06,2019-12-06,2012-12-01,35322
2019-12-06,2019-12-06,2013-01-01,35784
2019-12-06,2019-12-06,2013-02-01,35733
2019-12-06,2019-12-06,2013-03-01,35617
2019-12-06,2019-12-06,2013-04-01,35347
2019-12-06,2019-12-06,2013-05-01,35379
2019-12-06,2019-12-06,2013-06-01,35576
2019-12-06,2019-12-06,2013-07-01,35898
2019-12-06,2019-12-06,2013-08-01,36074
2019-12-06,2019-12-06,2013-09-01,35920
2019-12-06,2019-12-06,2013-10-01,35920
2019-12-06,2019-12-06,2013-11-01,36763
2019-12-06,2019-12-06,2013-12-01,37836
2019-12-06,2019-12-06,2014-01-01,36607
2019-12-06,2019-12-06,2014-02-01,37563
2019-12-06,2019-12-06,2014-03-01,38099
2019-12-06,2019-12-06,2014-04-01,38266
2019-12-06,2019-12-06,2014-05-01,38435
2019-12-06,2019-12-06,2014-06-01,39168
2019-12-06,2019-12-06,2014-07-01,39168
2019-12-06,2019-12-06,2014-08-01,39677
2019-12-06,2019-12-06,2014-09-01,39774
2019-12-06,2019-12-06,2014-10-01,40173
2019-12-06,2019-12-06,2014-11-01,40552
2019-12-06,2019-12-06,2014-12-01,40733
2019-12-06,2019-12-06,2015-01-01,40551
2019-12-06,2019-12-06,2015-02-01,41480
2019-12-06,2019-12-06,2015-03-01,41336
2019-12-06,2019-12-06,2015-04-01,41711
2019-12-06,2019-12-06,2015-05-01,41636
2019-12-06,2019-12-06,2015-06-01,41868
2019-12-06,2019-12-06,2015-07-01,42572
2019-12-06,2019-12-06,2015-08-01,42661
2019-12-06,2019-12-06,2015-09-01,43107
2019-12-06,2019-12-06,2015-10-01,43421
2019-12-06,2019-12-06,2015-11-01,43286
2019-12-06,2019-12-06,2015-12-01,43614
2019-12-06,2019-12-06,2016-01-01,44365
2019-12-06,2019-12-06,2016-02-01,44530
2019-12-06,2019-12-06,2016-03-01,44686
2019-12-06,2019-12-06,2016-04-01,45253
2019-12-06,2019-12-06,2016-05-01,46232
2019-12-06,2019-12-06,2016-06-01,46844
2019-12-06,2019-12-06,2016-07-01,46904
2019-12-06,2019-12-06,2016-08-01,47195
2019-12-06,2019-12-06,2016-09-01,47570
2019-12-06,2019-12-06,2016-10-01,48352
2019-12-06,2019-12-06,2016-11-01,48106
2019-12-06,2019-12-06,2016-12-01,49144
2019-12-06,2019-12-06,2017-01-01,49763
2019-12-06,2019-12-06,2017-02-01,49957
2019-12-06,2019-12-06,2017-03-01,50454
2019-12-06,2019-12-06,2017-04-01,51400
2019-12-06,2019-12-06,2017-05-01,52032
2019-12-06,2019-12-06,2017-06-01,52395
2019-12-06,2019-12-06,2017-07-01,52942
2019-12-06,2019-12-06,2017-08-01,53201
2019-12-06,2019-12-06,2017-09-01,53428
2019-12-06,2019-12-06,2017-10-01,53374
2019-12-06,2019-12-06,2017-11-01,54805
2019-12-06,2019-12-06,2017-12-01,55428
2019-12-06,2019-12-06,2018-01-01,55413
2019-12-06,2019-12-06,2018-02-01,55589
2019-12-06,2019-12-06,2018-03-01,55860
2019-12-06,2019-12-06,2018-04-01,56730
2019-12-06,2019-12-06,2018-05-01,56792
2019-12-06,2019-12-06,2018-06-01,57242
2019-12-06,2019-12-06,2018-07-01,57926
